Layer_name, ID, kernel_dim , stride , ifm_channels, ofm_channels, simd, pe, ifm_dimension, ofm_dimension, input_precision, activation
conv,1,1,1,64,64,8,32,56,56,2,2
conv,2,3,1,64,64,16,8,56,56,2,2
conv,3,1,1,64,64,8,16,56,56,2,2
conv,4,1,1,64,256,16,8,56,56,2,2
conv,5,1,1,256,64,8,32,56,56,2,2
conv,6,1,2,256,128,16,32,56,28,2,2
conv,7,3,1,128,128,32,16,28,28,2,2
conv,8,1,1,128,512,32,16,28,28,2,2
conv,9,1,2,256,512,32,32,56,28,2,2
conv,10,1,1,512,128,16,32,28,28,2,2
conv,11,1,2,512,256,16,16,28,14,2,2
conv,12,3,1,256,256,16,16,14,14,2,2
conv,13,1,1,256,1024,32,32,14,14,2,2
conv,14,1,2,512,1024,32,32,28,14,2,2
conv,15,1,1,1024,256,32,32,14,14,2,2
conv,16,1,2,1024,512,32,8,14,7,2,2
conv,17,3,1,512,512,16,16,7,7,2,2
conv,18,1,1,512,2048,32,16,7,7,2,2
conv,19,1,2,1024,2048,32,16,14,7,2,2
conv,20,1,1,2048,512,32,16,7,7,2,2
